end_period_ts,open_interest_fp,price,volume_fp,yes_ask,yes_bid,ticker
1787716860,93554.69,"{""close_dollars"":""0.2800"",""high_dollars"":""0.5200"",""low_dollars"":""0.2500"",""mean_dollars"":""0.3375"",""open_dollars"":""0.5200""}",138086.72,"{""close_dollars"":""0.2800"",""high_dollars"":""1.0000"",""low_dollars"":""0.2700"",""open_dollars"":""1.0000""}","{""close_dollars"":""0.2700"",""high_dollars"":""0.5200"",""low_dollars"":""0.0110"",""open_dollars"":""0.0110""}",KXBTC15M-26AUG260015-15
1787716920,230726.14,"{""close_dollars"":""0.1800"",""high_dollars"":""0.3200"",""low_dollars"":""0.1700"",""mean_dollars"":""0.2448"",""open_dollars"":""0.2700"",""previous_dollars"":""0.2800""}",184311.29,"{""close_dollars"":""0.1800"",""high_dollars"":""0.3200"",""low_dollars"":""0.1800"",""open_dollars"":""0.2800""}","{""close_dollars"":""0.1700"",""high_dollars"":""0.3100"",""low_dollars"":""0.1700"",""open_dollars"":""0.2700""}",KXBTC15M-26AUG260015-15
1787716980,318685.94,"{""close_dollars"":""0.2500"",""high_dollars"":""0.2600"",""low_dollars"":""0.1600"",""mean_dollars"":""0.2103"",""open_dollars"":""0.1800"",""previous_dollars"":""0.1800""}",130514.87,"{""close_dollars"":""0.2600"",""high_dollars"":""0.2600"",""low_dollars"":""0.1700"",""open_dollars"":""0.1800""}","{""close_dollars"":""0.2500"",""high_dollars"":""0.2500"",""low_dollars"":""0.1600"",""open_dollars"":""0.1700""}",KXBTC15M-26AUG260015-15
1787717040,372567.89,"{""close_dollars"":""0.2000"",""high_dollars"":""0.2700"",""low_dollars"":""0.1900"",""mean_dollars"":""0.2234"",""open_dollars"":""0.2500"",""previous_dollars"":""0.2500""}",81139.49,"{""close_dollars"":""0.2100"",""high_dollars"":""0.2700"",""low_dollars"":""0.2000"",""open_dollars"":""0.2600""}","{""close_dollars"":""0.2000"",""high_dollars"":""0.2600"",""low_dollars"":""0.1900"",""open_dollars"":""0.2500""}",KXBTC15M-26AUG260015-15
1787717100,390732.42,"{""close_dollars"":""0.2900"",""high_dollars"":""0.3000"",""low_dollars"":""0.1800"",""mean_dollars"":""0.2366"",""open_dollars"":""0.2100"",""previous_dollars"":""0.2000""}",74797.23,"{""close_dollars"":""0.2900"",""high_dollars"":""0.3000"",""low_dollars"":""0.1900"",""open_dollars"":""0.2100""}","{""close_dollars"":""0.2800"",""high_dollars"":""0.2900"",""low_dollars"":""0.1800"",""open_dollars"":""0.2000""}",KXBTC15M-26AUG260015-15
1787717160,407378.86,"{""close_dollars"":""0.3500"",""high_dollars"":""0.3600"",""low_dollars"":""0.2200"",""mean_dollars"":""0.2873"",""open_dollars"":""0.2800"",""previous_dollars"":""0.2900""}",68443.36,"{""close_dollars"":""0.3500"",""high_dollars"":""0.3600"",""low_dollars"":""0.2300"",""open_dollars"":""0.2900""}","{""close_dollars"":""0.3400"",""high_dollars"":""0.3500"",""low_dollars"":""0.2200"",""open_dollars"":""0.2800""}",KXBTC15M-26AUG260015-15
1787717220,393437.41,"{""close_dollars"":""0.4600"",""high_dollars"":""0.4700"",""low_dollars"":""0.2900"",""mean_dollars"":""0.3593"",""open_dollars"":""0.3500"",""previous_dollars"":""0.3500""}",97160.32,"{""close_dollars"":""0.4700"",""high_dollars"":""0.4700"",""low_dollars"":""0.3000"",""open_dollars"":""0.3500""}","{""close_dollars"":""0.4600"",""high_dollars"":""0.4600"",""low_dollars"":""0.2900"",""open_dollars"":""0.3400""}",KXBTC15M-26AUG260015-15
1787717280,379181.34,"{""close_dollars"":""0.3800"",""high_dollars"":""0.5100"",""low_dollars"":""0.3600"",""mean_dollars"":""0.4301"",""open_dollars"":""0.4600"",""previous_dollars"":""0.4600""}",108916.76,"{""close_dollars"":""0.3900"",""high_dollars"":""0.5200"",""low_dollars"":""0.3700"",""open_dollars"":""0.4700""}","{""close_dollars"":""0.3800"",""high_dollars"":""0.5000"",""low_dollars"":""0.3600"",""open_dollars"":""0.4600""}",KXBTC15M-26AUG260015-15
1787717340,350803.33,"{""close_dollars"":""0.3000"",""high_dollars"":""0.6400"",""low_dollars"":""0.2700"",""mean_dollars"":""0.4429"",""open_dollars"":""0.3900"",""previous_dollars"":""0.3800""}",224134.05,"{""close_dollars"":""0.3100"",""high_dollars"":""0.6400"",""low_dollars"":""0.2800"",""open_dollars"":""0.3900""}","{""close_dollars"":""0.3000"",""high_dollars"":""0.6300"",""low_dollars"":""0.2700"",""open_dollars"":""0.3800""}",KXBTC15M-26AUG260015-15
1787717400,321788.57,"{""close_dollars"":""0.7800"",""high_dollars"":""0.8000"",""low_dollars"":""0.2900"",""mean_dollars"":""0.5778"",""open_dollars"":""0.3100"",""previous_dollars"":""0.3000""}",217998.80,"{""close_dollars"":""0.7900"",""high_dollars"":""0.8000"",""low_dollars"":""0.3000"",""open_dollars"":""0.3100""}","{""close_dollars"":""0.7800"",""high_dollars"":""0.7900"",""low_dollars"":""0.2900"",""open_dollars"":""0.3000""}",KXBTC15M-26AUG260015-15
1787717460,321896.96,"{""close_dollars"":""0.8100"",""high_dollars"":""0.9200"",""low_dollars"":""0.7300"",""mean_dollars"":""0.8386"",""open_dollars"":""0.7800"",""previous_dollars"":""0.7800""}",306013.67,"{""close_dollars"":""0.8100"",""high_dollars"":""0.9200"",""low_dollars"":""0.7400"",""open_dollars"":""0.7900""}","{""close_dollars"":""0.8000"",""high_dollars"":""0.9130"",""low_dollars"":""0.7300"",""open_dollars"":""0.7800""}",KXBTC15M-26AUG260015-15
1787717520,319497.45,"{""close_dollars"":""0.4800"",""high_dollars"":""0.8900"",""low_dollars"":""0.4800"",""mean_dollars"":""0.7087"",""open_dollars"":""0.8100"",""previous_dollars"":""0.8100""}",227608.55,"{""close_dollars"":""0.4900"",""high_dollars"":""0.8900"",""low_dollars"":""0.4900"",""open_dollars"":""0.8100""}","{""close_dollars"":""0.4800"",""high_dollars"":""0.8800"",""low_dollars"":""0.4800"",""open_dollars"":""0.8000""}",KXBTC15M-26AUG260015-15
1787717580,297603.91,"{""close_dollars"":""0.2200"",""high_dollars"":""0.6300"",""low_dollars"":""0.2200"",""mean_dollars"":""0.4657"",""open_dollars"":""0.4900"",""previous_dollars"":""0.4800""}",200984.52,"{""close_dollars"":""0.2200"",""high_dollars"":""0.6400"",""low_dollars"":""0.2200"",""open_dollars"":""0.4900""}","{""close_dollars"":""0.2100"",""high_dollars"":""0.6200"",""low_dollars"":""0.2100"",""open_dollars"":""0.4800""}",KXBTC15M-26AUG260015-15
1787717640,376691.85,"{""close_dollars"":""0.0090"",""high_dollars"":""0.2200"",""low_dollars"":""0.0040"",""mean_dollars"":""0.0451"",""open_dollars"":""0.2200"",""previous_dollars"":""0.2200""}",454768.81,"{""close_dollars"":""0.0090"",""high_dollars"":""0.2200"",""low_dollars"":""0.0060"",""open_dollars"":""0.2200""}","{""close_dollars"":""0.0070"",""high_dollars"":""0.2100"",""low_dollars"":""0.0030"",""open_dollars"":""0.2100""}",KXBTC15M-26AUG260015-15
1787717700,808299.32,"{""close_dollars"":""0.0010"",""high_dollars"":""0.0090"",""low_dollars"":""0.0010"",""mean_dollars"":""0.0013"",""open_dollars"":""0.0090"",""previous_dollars"":""0.0090""}",507476.34,"{""close_dollars"":""0.0010"",""high_dollars"":""0.0090"",""low_dollars"":""0.0010"",""open_dollars"":""0.0090""}","{""close_dollars"":""0.0000"",""high_dollars"":""0.0080"",""low_dollars"":""0.0000"",""open_dollars"":""0.0070""}",KXBTC15M-26AUG260015-15
1787715960,84808.74,"{""close_dollars"":""0.4000"",""high_dollars"":""0.5400"",""low_dollars"":""0.3800"",""mean_dollars"":""0.4581"",""open_dollars"":""0.4700""}",150663.05,"{""close_dollars"":""0.4100"",""high_dollars"":""1.0000"",""low_dollars"":""0.3900"",""open_dollars"":""1.0000""}","{""close_dollars"":""0.4000"",""high_dollars"":""0.5300"",""low_dollars"":""0.0100"",""open_dollars"":""0.0100""}",KXBTC15M-26AUG260000-00
1787716020,199553.44,"{""close_dollars"":""0.2300"",""high_dollars"":""0.4100"",""low_dollars"":""0.2200"",""mean_dollars"":""0.2948"",""open_dollars"":""0.4100"",""previous_dollars"":""0.4000""}",173763.70,"{""close_dollars"":""0.2300"",""high_dollars"":""0.4100"",""low_dollars"":""0.2300"",""open_dollars"":""0.4100""}","{""close_dollars"":""0.2200"",""high_dollars"":""0.4000"",""low_dollars"":""0.2200"",""open_dollars"":""0.4000""}",KXBTC15M-26AUG260000-00
1787716080,297228.74,"{""close_dollars"":""0.1800"",""high_dollars"":""0.2300"",""low_dollars"":""0.1600"",""mean_dollars"":""0.1985"",""open_dollars"":""0.2300"",""previous_dollars"":""0.2300""}",144173.38,"{""close_dollars"":""0.1900"",""high_dollars"":""0.2300"",""low_dollars"":""0.1700"",""open_dollars"":""0.2300""}","{""close_dollars"":""0.1800"",""high_dollars"":""0.2200"",""low_dollars"":""0.1600"",""open_dollars"":""0.2200""}",KXBTC15M-26AUG260000-00
1787716140,372048.61,"{""close_dollars"":""0.2100"",""high_dollars"":""0.2300"",""low_dollars"":""0.1500"",""mean_dollars"":""0.1738"",""open_dollars"":""0.1900"",""previous_dollars"":""0.1800""}",107148.94,"{""close_dollars"":""0.2100"",""high_dollars"":""0.2300"",""low_dollars"":""0.1600"",""open_dollars"":""0.1900""}","{""close_dollars"":""0.2000"",""high_dollars"":""0.2100"",""low_dollars"":""0.1500"",""open_dollars"":""0.1800""}",KXBTC15M-26AUG260000-00
1787716200,413075.76,"{""close_dollars"":""0.2400"",""high_dollars"":""0.2500"",""low_dollars"":""0.2000"",""mean_dollars"":""0.2223"",""open_dollars"":""0.2100"",""previous_dollars"":""0.2100""}",73002.75,"{""close_dollars"":""0.2400"",""high_dollars"":""0.2500"",""low_dollars"":""0.2100"",""open_dollars"":""0.2100""}","{""close_dollars"":""0.2300"",""high_dollars"":""0.2300"",""low_dollars"":""0.2000"",""open_dollars"":""0.2000""}",KXBTC15M-26AUG260000-00
