can_close_early,close_time,created_time,custom_strike,event_ticker,exchange_index,expected_expiration_time,expiration_time,expiration_value,floor_strike,last_price_dollars,latest_expiration_time,liquidity_dollars,market_type,no_ask_dollars,no_bid_dollars,no_sub_title,notional_value_dollars,occurrence_datetime,open_interest_fp,open_time,previous_price_dollars,previous_yes_ask_dollars,previous_yes_bid_dollars,price_level_structure,price_ranges,result,rules_primary,rules_secondary,settlement_timer_seconds,settlement_ts,settlement_value_dollars,status,strike_type,ticker,title,updated_time,volume_24h_fp,volume_fp,yes_ask_dollars,yes_ask_size_fp,yes_bid_dollars,yes_bid_size_fp,yes_sub_title
True,2026-06-30T23:45:00Z,2026-06-30T00:01:06.337713Z,"{""round_digits"":""2""}",KXBTC15M-26JUN301945,0,2026-06-30T23:50:00Z,2026-07-07T23:45:00Z,58505.72,58533.17,0.0010,2026-07-07T23:45:00Z,0.0000,binary,1.0000,0.0000,Target price: TBD,1.0000,2026-06-30T23:50:00Z,420937.85,2026-06-30T23:30:00Z,0.0010,1.0000,0.0000,tapered_deci_cent,"[{""end"":""0.1000"",""start"":""0.0000"",""step"":""0.0010""},{""end"":""0.9000"",""start"":""0.1000"",""step"":""0.0100""},{""end"":""1.0000"",""start"":""0.9000"",""step"":""0.0010""}]",no,"If the simple average of the sixty seconds of CF Benchmarks' BRTI before 7:45 PM EDT on Jun 30, 2026 is at least the simple average of the sixty seconds of CF Benchmarks' BRTI before 7:30 PM EDT on June 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices, rounded to the nearest 2 decimal places.",1,2026-06-30T23:45:11.953133Z,0.0000,finalized,greater_or_equal,KXBTC15M-26JUN301945-45,BTC price up in next 15 mins?,2026-06-30T23:45:12.019424Z,0.00,1300649.18,1.0000,0.00,0.0000,0.00,"Target Price: $58,533.17"
True,2026-06-30T23:30:00Z,2026-06-30T00:01:05.978595Z,"{""round_digits"":""2""}",KXBTC15M-26JUN301930,0,2026-06-30T23:35:00Z,2026-07-07T23:30:00Z,58533.17,58526.35,0.9990,2026-07-07T23:30:00Z,0.0000,binary,1.0000,0.0000,Target price: TBD,1.0000,2026-06-30T23:35:00Z,348084.58,2026-06-30T23:15:00Z,0.9990,1.0000,0.0000,tapered_deci_cent,"[{""end"":""0.1000"",""start"":""0.0000"",""step"":""0.0010""},{""end"":""0.9000"",""start"":""0.1000"",""step"":""0.0100""},{""end"":""1.0000"",""start"":""0.9000"",""step"":""0.0010""}]",yes,"If the simple average of the sixty seconds of CF Benchmarks' BRTI before 7:30 PM EDT on Jun 30, 2026 is at least the simple average of the sixty seconds of CF Benchmarks' BRTI before 7:15 PM EDT on June 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices, rounded to the nearest 2 decimal places.",1,2026-06-30T23:30:12.015261Z,1.0000,finalized,greater_or_equal,KXBTC15M-26JUN301930-30,BTC price up in next 15 mins?,2026-06-30T23:30:12.106327Z,0.00,1789857.08,1.0000,0.00,0.0000,0.00,"Target Price: $58,526.35"
True,2026-06-30T23:15:00Z,2026-06-30T00:01:05.678854Z,"{""round_digits"":""2""}",KXBTC15M-26JUN301915,0,2026-06-30T23:20:00Z,2026-07-07T23:15:00Z,58526.35,58525.99,0.9910,2026-07-07T23:15:00Z,0.0000,binary,1.0000,0.0000,Target price: TBD,1.0000,2026-06-30T23:20:00Z,331903.26,2026-06-30T23:00:00Z,0.9910,1.0000,0.0000,tapered_deci_cent,"[{""end"":""0.1000"",""start"":""0.0000"",""step"":""0.0010""},{""end"":""0.9000"",""start"":""0.1000"",""step"":""0.0100""},{""end"":""1.0000"",""start"":""0.9000"",""step"":""0.0010""}]",yes,"If the simple average of the sixty seconds of CF Benchmarks' BRTI before 7:15 PM EDT on Jun 30, 2026 is at least the simple average of the sixty seconds of CF Benchmarks' BRTI before 7:00 PM EDT on June 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices, rounded to the nearest 2 decimal places.",1,2026-06-30T23:15:12.066257Z,1.0000,finalized,greater_or_equal,KXBTC15M-26JUN301915-15,BTC price up in next 15 mins?,2026-06-30T23:15:12.105017Z,0.00,1863139.56,1.0000,0.00,0.0000,0.00,"Target Price: $58,525.99"
True,2026-06-30T23:00:00Z,2026-06-30T00:01:05.349995Z,"{""round_digits"":""2""}",KXBTC15M-26JUN301900,0,2026-06-30T23:05:00Z,2026-07-07T23:00:00Z,58525.99,58512.48,0.9990,2026-07-07T23:00:00Z,0.0000,binary,1.0000,0.0000,Target price: TBD,1.0000,2026-06-30T23:05:00Z,253650.35,2026-06-30T22:45:00Z,0.9990,1.0000,0.0000,tapered_deci_cent,"[{""end"":""0.1000"",""start"":""0.0000"",""step"":""0.0010""},{""end"":""0.9000"",""start"":""0.1000"",""step"":""0.0100""},{""end"":""1.0000"",""start"":""0.9000"",""step"":""0.0010""}]",yes,"If the simple average of the sixty seconds of CF Benchmarks' BRTI before 7:00 PM EDT on Jun 30, 2026 is at least the simple average of the sixty seconds of CF Benchmarks' BRTI before 6:45 PM EDT on June 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices, rounded to the nearest 2 decimal places.",1,2026-06-30T23:00:11.951897Z,1.0000,finalized,greater_or_equal,KXBTC15M-26JUN301900-00,BTC price up in next 15 mins?,2026-06-30T23:00:12.002259Z,0.00,1466593.83,1.0000,0.00,0.0000,0.00,"Target Price: $58,512.48"
True,2026-06-30T22:45:00Z,2026-06-30T00:01:05.059893Z,"{""round_digits"":""2""}",KXBTC15M-26JUN301845,0,2026-06-30T22:50:00Z,2026-07-07T22:45:00Z,58512.48,58588.99,0.0010,2026-07-07T22:45:00Z,0.0000,binary,1.0000,0.0000,Target price: TBD,1.0000,2026-06-30T22:50:00Z,522842.53,2026-06-30T22:30:00Z,0.0010,1.0000,0.0000,tapered_deci_cent,"[{""end"":""0.1000"",""start"":""0.0000"",""step"":""0.0010""},{""end"":""0.9000"",""start"":""0.1000"",""step"":""0.0100""},{""end"":""1.0000"",""start"":""0.9000"",""step"":""0.0010""}]",no,"If the simple average of the sixty seconds of CF Benchmarks' BRTI before 6:45 PM EDT on Jun 30, 2026 is at least the simple average of the sixty seconds of CF Benchmarks' BRTI before 6:30 PM EDT on June 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices, rounded to the nearest 2 decimal places.",1,2026-06-30T22:45:11.948237Z,0.0000,finalized,greater_or_equal,KXBTC15M-26JUN301845-45,BTC price up in next 15 mins?,2026-06-30T22:45:11.968382Z,0.00,1027336.89,1.0000,0.00,0.0000,0.00,"Target Price: $58,588.99"
True,2026-06-30T22:30:00Z,2026-06-30T00:01:04.729928Z,"{""round_digits"":""2""}",KXBTC15M-26JUN301830,0,2026-06-30T22:35:00Z,2026-07-07T22:30:00Z,58588.99,58647.15,0.0010,2026-07-07T22:30:00Z,0.0000,binary,1.0000,0.0000,Target price: TBD,1.0000,2026-06-30T22:35:00Z,383197.94,2026-06-30T22:15:00Z,0.0010,1.0000,0.0000,tapered_deci_cent,"[{""end"":""0.1000"",""start"":""0.0000"",""step"":""0.0010""},{""end"":""0.9000"",""start"":""0.1000"",""step"":""0.0100""},{""end"":""1.0000"",""start"":""0.9000"",""step"":""0.0010""}]",no,"If the simple average of the sixty seconds of CF Benchmarks' BRTI before 6:30 PM EDT on Jun 30, 2026 is at least the simple average of the sixty seconds of CF Benchmarks' BRTI before 6:15 PM EDT on June 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices, rounded to the nearest 2 decimal places.",1,2026-06-30T22:30:01.952928Z,0.0000,finalized,greater_or_equal,KXBTC15M-26JUN301830-30,BTC price up in next 15 mins?,2026-06-30T22:30:01.976576Z,0.00,1195908.64,1.0000,0.00,0.0000,0.00,"Target Price: $58,647.15"
True,2026-06-30T22:15:00Z,2026-06-30T00:01:04.343421Z,"{""round_digits"":""2""}",KXBTC15M-26JUN301815,0,2026-06-30T22:20:00Z,2026-07-07T22:15:00Z,58647.15,58556.04,0.9990,2026-07-07T22:15:00Z,0.0000,binary,1.0000,0.0000,Target price: TBD,1.0000,2026-06-30T22:20:00Z,453628.31,2026-06-30T22:00:00Z,0.9990,1.0000,0.0000,tapered_deci_cent,"[{""end"":""0.1000"",""start"":""0.0000"",""step"":""0.0010""},{""end"":""0.9000"",""start"":""0.1000"",""step"":""0.0100""},{""end"":""1.0000"",""start"":""0.9000"",""step"":""0.0010""}]",yes,"If the simple average of the sixty seconds of CF Benchmarks' BRTI before 6:15 PM EDT on Jun 30, 2026 is at least the simple average of the sixty seconds of CF Benchmarks' BRTI before 6:00 PM EDT on June 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices, rounded to the nearest 2 decimal places.",1,2026-06-30T22:15:11.955189Z,1.0000,finalized,greater_or_equal,KXBTC15M-26JUN301815-15,BTC price up in next 15 mins?,2026-06-30T22:15:11.999282Z,0.00,1166762.04,1.0000,0.00,0.0000,0.00,"Target Price: $58,556.04"
True,2026-06-30T22:00:00Z,2026-06-30T00:01:04.035757Z,"{""round_digits"":""2""}",KXBTC15M-26JUN301800,0,2026-06-30T22:05:00Z,2026-07-07T22:00:00Z,58556.04,58526.55,0.9990,2026-07-07T22:00:00Z,0.0000,binary,1.0000,0.0000,Target price: TBD,1.0000,2026-06-30T22:05:00Z,281921.63,2026-06-30T21:45:00Z,0.9990,1.0000,0.0000,tapered_deci_cent,"[{""end"":""0.1000"",""start"":""0.0000"",""step"":""0.0010""},{""end"":""0.9000"",""start"":""0.1000"",""step"":""0.0100""},{""end"":""1.0000"",""start"":""0.9000"",""step"":""0.0010""}]",yes,"If the simple average of the sixty seconds of CF Benchmarks' BRTI before 6:00 PM EDT on Jun 30, 2026 is at least the simple average of the sixty seconds of CF Benchmarks' BRTI before 5:45 PM EDT on June 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices, rounded to the nearest 2 decimal places.",1,2026-06-30T22:00:11.950668Z,1.0000,finalized,greater_or_equal,KXBTC15M-26JUN301800-00,BTC price up in next 15 mins?,2026-06-30T22:00:12.017585Z,0.00,1302103.34,1.0000,0.00,0.0000,0.00,"Target Price: $58,526.55"
True,2026-06-30T21:45:00Z,2026-06-30T00:01:03.665621Z,"{""round_digits"":""2""}",KXBTC15M-26JUN301745,0,2026-06-30T21:50:00Z,2026-07-07T21:45:00Z,58526.55,58520.91,0.9990,2026-07-07T21:45:00Z,0.0000,binary,1.0000,0.0000,Target price: TBD,1.0000,2026-06-30T21:50:00Z,385625.03,2026-06-30T21:30:00Z,0.9990,1.0000,0.0000,tapered_deci_cent,"[{""end"":""0.1000"",""start"":""0.0000"",""step"":""0.0010""},{""end"":""0.9000"",""start"":""0.1000"",""step"":""0.0100""},{""end"":""1.0000"",""start"":""0.9000"",""step"":""0.0010""}]",yes,"If the simple average of the sixty seconds of CF Benchmarks' BRTI before 5:45 PM EDT on Jun 30, 2026 is at least the simple average of the sixty seconds of CF Benchmarks' BRTI before 5:30 PM EDT on June 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices, rounded to the nearest 2 decimal places.",1,2026-06-30T21:45:12.007494Z,1.0000,finalized,greater_or_equal,KXBTC15M-26JUN301745-45,BTC price up in next 15 mins?,2026-06-30T21:45:12.13592Z,0.00,1418756.73,1.0000,0.00,0.0000,0.00,"Target Price: $58,520.91"
True,2026-06-30T21:30:00Z,2026-06-30T00:01:03.368119Z,"{""round_digits"":""2""}",KXBTC15M-26JUN301730,0,2026-06-30T21:35:00Z,2026-07-07T21:30:00Z,58520.91,58506.84,0.9990,2026-07-07T21:30:00Z,0.0000,binary,1.0000,0.0000,Target price: TBD,1.0000,2026-06-30T21:35:00Z,562972.28,2026-06-30T21:15:00Z,0.9990,1.0000,0.0000,tapered_deci_cent,"[{""end"":""0.1000"",""start"":""0.0000"",""step"":""0.0010""},{""end"":""0.9000"",""start"":""0.1000"",""step"":""0.0100""},{""end"":""1.0000"",""start"":""0.9000"",""step"":""0.0010""}]",yes,"If the simple average of the sixty seconds of CF Benchmarks' BRTI before 5:30 PM EDT on Jun 30, 2026 is at least the simple average of the sixty seconds of CF Benchmarks' BRTI before 5:15 PM EDT on June 30, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices, rounded to the nearest 2 decimal places.",1,2026-06-30T21:30:12.007616Z,1.0000,finalized,greater_or_equal,KXBTC15M-26JUN301730-30,BTC price up in next 15 mins?,2026-06-30T21:30:12.064284Z,0.00,1810516.87,1.0000,0.00,0.0000,0.00,"Target Price: $58,506.84"
