can_close_early,close_time,created_time,custom_strike_round_digits,event_ticker,exchange_index,expected_expiration_time,expiration_time,expiration_value,floor_strike,last_price_dollars,latest_expiration_time,liquidity_dollars,market_type,no_ask_dollars,no_bid_dollars,no_sub_title,notional_value_dollars,occurrence_datetime,open_interest_fp,open_time,previous_price_dollars,previous_yes_ask_dollars,previous_yes_bid_dollars,price_level_structure,price_ranges,result,rules_primary,rules_secondary,settlement_timer_seconds,settlement_ts,settlement_value_dollars,status,strike_type,ticker,title,updated_time,volume_24h_fp,volume_fp,yes_ask_dollars,yes_ask_size_fp,yes_bid_dollars,yes_bid_size_fp,yes_sub_title
True,2026-08-20T04:45:00Z,2026-08-20T00:01:04.476257Z,2,KXBTC15M-26AUG200045,0,2026-08-20T04:50:00Z,2026-08-27T04:45:00Z,69293.91,69304.97,0.0010,2026-08-27T04:45:00Z,0.0000,binary,1.0000,0.0000,Target price: TBD,1.0000,2026-08-20T04:50:00Z,599049.07,2026-08-20T04:30:00Z,0.0000,0.0000,0.0000,tapered_deci_cent,"[{""end"": ""0.1000"", ""start"": ""0.0000"", ""step"": ""0.0010""}, {""end"": ""0.9000"", ""start"": ""0.1000"", ""step"": ""0.0100""}, {""end"": ""1.0000"", ""start"": ""0.9000"", ""step"": ""0.0010""}]",no,"If the simple average of the sixty seconds of CF Benchmarks' BRTI before 12:45 AM EDT on Aug 20, 2026 is at least the simple average of the sixty seconds of CF Benchmarks' BRTI before 12:30 AM EDT on August 20, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices, rounded to the nearest 2 decimal places.",1,2026-08-20T04:45:13.972385Z,0.0000,finalized,greater_or_equal,KXBTC15M-26AUG200045-45,BTC price up in next 15 mins?,2026-08-20T04:45:14.015221Z,2863488.07,2863488.07,1.0000,0.00,0.0000,0.00,"Target Price: $69,304.97"
True,2026-08-20T04:30:00Z,2026-08-20T00:01:04.175488Z,2,KXBTC15M-26AUG200030,0,2026-08-20T04:35:00Z,2026-08-27T04:30:00Z,69304.97,69305.38,0.0010,2026-08-27T04:30:00Z,0.0000,binary,1.0000,0.0000,Target price: TBD,1.0000,2026-08-20T04:35:00Z,470687.94,2026-08-20T04:15:00Z,0.0000,0.0000,0.0000,tapered_deci_cent,"[{""end"": ""0.1000"", ""start"": ""0.0000"", ""step"": ""0.0010""}, {""end"": ""0.9000"", ""start"": ""0.1000"", ""step"": ""0.0100""}, {""end"": ""1.0000"", ""start"": ""0.9000"", ""step"": ""0.0010""}]",no,"If the simple average of the sixty seconds of CF Benchmarks' BRTI before 12:30 AM EDT on Aug 20, 2026 is at least the simple average of the sixty seconds of CF Benchmarks' BRTI before 12:15 AM EDT on August 20, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices, rounded to the nearest 2 decimal places.",1,2026-08-20T04:30:03.98568Z,0.0000,finalized,greater_or_equal,KXBTC15M-26AUG200030-30,BTC price up in next 15 mins?,2026-08-20T04:30:04.033641Z,2634326.47,2634326.47,1.0000,0.00,0.0000,0.00,"Target Price: $69,305.38"
True,2026-08-20T04:15:00Z,2026-08-20T00:01:03.852893Z,2,KXBTC15M-26AUG200015,0,2026-08-20T04:20:00Z,2026-08-27T04:15:00Z,69305.38,69131.61,0.9990,2026-08-27T04:15:00Z,0.0000,binary,1.0000,0.0000,Target price: TBD,1.0000,2026-08-20T04:20:00Z,707873.00,2026-08-20T04:00:00Z,0.0000,0.0000,0.0000,tapered_deci_cent,"[{""end"": ""0.1000"", ""start"": ""0.0000"", ""step"": ""0.0010""}, {""end"": ""0.9000"", ""start"": ""0.1000"", ""step"": ""0.0100""}, {""end"": ""1.0000"", ""start"": ""0.9000"", ""step"": ""0.0010""}]",yes,"If the simple average of the sixty seconds of CF Benchmarks' BRTI before 12:15 AM EDT on Aug 20, 2026 is at least the simple average of the sixty seconds of CF Benchmarks' BRTI before 12:00 AM EDT on August 20, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices, rounded to the nearest 2 decimal places.",1,2026-08-20T04:15:04.026409Z,1.0000,finalized,greater_or_equal,KXBTC15M-26AUG200015-15,BTC price up in next 15 mins?,2026-08-20T04:15:04.178861Z,2000962.38,2000962.38,1.0000,0.00,0.0000,0.00,"Target Price: $69,131.61"
True,2026-08-20T04:00:00Z,2026-08-19T00:01:21.563626Z,2,KXBTC15M-26AUG200000,0,2026-08-20T04:05:00Z,2026-08-27T04:00:00Z,69131.61,69107.63,0.9990,2026-08-27T04:00:00Z,0.0000,binary,1.0000,0.0000,Target price: TBD,1.0000,2026-08-20T04:05:00Z,436566.01,2026-08-20T03:45:00Z,0.0000,0.0000,0.0000,tapered_deci_cent,"[{""end"": ""0.1000"", ""start"": ""0.0000"", ""step"": ""0.0010""}, {""end"": ""0.9000"", ""start"": ""0.1000"", ""step"": ""0.0100""}, {""end"": ""1.0000"", ""start"": ""0.9000"", ""step"": ""0.0010""}]",yes,"If the simple average of the sixty seconds of CF Benchmarks' BRTI before 12:00 AM EDT on Aug 20, 2026 is at least the simple average of the sixty seconds of CF Benchmarks' BRTI before 11:45 PM EDT on August 19, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices, rounded to the nearest 2 decimal places.",1,2026-08-20T04:00:07.239438Z,1.0000,finalized,greater_or_equal,KXBTC15M-26AUG200000-00,BTC price up in next 15 mins?,2026-08-20T04:00:07.281657Z,2248448.44,2248448.44,1.0000,0.00,0.0000,0.00,"Target Price: $69,107.63"
True,2026-08-20T03:45:00Z,2026-08-19T00:01:21.275201Z,2,KXBTC15M-26AUG192345,0,2026-08-20T03:50:00Z,2026-08-27T03:45:00Z,69107.63,68923.26,0.9990,2026-08-27T03:45:00Z,0.0000,binary,1.0000,0.0000,Target price: TBD,1.0000,2026-08-20T03:50:00Z,852359.89,2026-08-20T03:30:00Z,0.0000,0.0000,0.0000,tapered_deci_cent,"[{""end"": ""0.1000"", ""start"": ""0.0000"", ""step"": ""0.0010""}, {""end"": ""0.9000"", ""start"": ""0.1000"", ""step"": ""0.0100""}, {""end"": ""1.0000"", ""start"": ""0.9000"", ""step"": ""0.0010""}]",yes,"If the simple average of the sixty seconds of CF Benchmarks' BRTI before 11:45 PM EDT on Aug 19, 2026 is at least the simple average of the sixty seconds of CF Benchmarks' BRTI before 11:30 PM EDT on August 19, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices, rounded to the nearest 2 decimal places.",1,2026-08-20T03:45:13.976234Z,1.0000,finalized,greater_or_equal,KXBTC15M-26AUG192345-45,BTC price up in next 15 mins?,2026-08-20T03:45:14.028913Z,1943014.84,1943014.84,1.0000,0.00,0.0000,0.00,"Target Price: $68,923.26"
True,2026-08-20T03:30:00Z,2026-08-19T00:01:20.999755Z,2,KXBTC15M-26AUG192330,0,2026-08-20T03:35:00Z,2026-08-27T03:30:00Z,68923.26,68940.81,0.0010,2026-08-27T03:30:00Z,0.0000,binary,1.0000,0.0000,Target price: TBD,1.0000,2026-08-20T03:35:00Z,540967.95,2026-08-20T03:15:00Z,0.0000,0.0000,0.0000,tapered_deci_cent,"[{""end"": ""0.1000"", ""start"": ""0.0000"", ""step"": ""0.0010""}, {""end"": ""0.9000"", ""start"": ""0.1000"", ""step"": ""0.0100""}, {""end"": ""1.0000"", ""start"": ""0.9000"", ""step"": ""0.0010""}]",no,"If the simple average of the sixty seconds of CF Benchmarks' BRTI before 11:30 PM EDT on Aug 19, 2026 is at least the simple average of the sixty seconds of CF Benchmarks' BRTI before 11:15 PM EDT on August 19, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices, rounded to the nearest 2 decimal places.",1,2026-08-20T03:30:04.034448Z,0.0000,finalized,greater_or_equal,KXBTC15M-26AUG192330-30,BTC price up in next 15 mins?,2026-08-20T03:30:04.047236Z,3768092.72,3768092.72,1.0000,0.00,0.0000,0.00,"Target Price: $68,940.81"
True,2026-08-20T03:15:00Z,2026-08-19T00:01:20.712303Z,2,KXBTC15M-26AUG192315,0,2026-08-20T03:20:00Z,2026-08-27T03:15:00Z,68940.81,69261.48,0.0010,2026-08-27T03:15:00Z,0.0000,binary,1.0000,0.0000,Target price: TBD,1.0000,2026-08-20T03:20:00Z,1219166.52,2026-08-20T03:00:00Z,0.0000,0.0000,0.0000,tapered_deci_cent,"[{""end"": ""0.1000"", ""start"": ""0.0000"", ""step"": ""0.0010""}, {""end"": ""0.9000"", ""start"": ""0.1000"", ""step"": ""0.0100""}, {""end"": ""1.0000"", ""start"": ""0.9000"", ""step"": ""0.0010""}]",no,"If the simple average of the sixty seconds of CF Benchmarks' BRTI before 11:15 PM EDT on Aug 19, 2026 is at least the simple average of the sixty seconds of CF Benchmarks' BRTI before 11:00 PM EDT on August 19, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices, rounded to the nearest 2 decimal places.",1,2026-08-20T03:15:04.020465Z,0.0000,finalized,greater_or_equal,KXBTC15M-26AUG192315-15,BTC price up in next 15 mins?,2026-08-20T03:15:04.042334Z,2324691.25,2324691.25,1.0000,0.00,0.0000,0.00,"Target Price: $69,261.48"
True,2026-08-20T03:00:00Z,2026-08-19T00:01:20.4353Z,2,KXBTC15M-26AUG192300,0,2026-08-20T03:05:00Z,2026-08-27T03:00:00Z,69261.48,69282.84,0.0010,2026-08-27T03:00:00Z,0.0000,binary,1.0000,0.0000,Target price: TBD,1.0000,2026-08-20T03:05:00Z,452708.06,2026-08-20T02:45:00Z,0.0000,0.0000,0.0000,tapered_deci_cent,"[{""end"": ""0.1000"", ""start"": ""0.0000"", ""step"": ""0.0010""}, {""end"": ""0.9000"", ""start"": ""0.1000"", ""step"": ""0.0100""}, {""end"": ""1.0000"", ""start"": ""0.9000"", ""step"": ""0.0010""}]",no,"If the simple average of the sixty seconds of CF Benchmarks' BRTI before 11:00 PM EDT on Aug 19, 2026 is at least the simple average of the sixty seconds of CF Benchmarks' BRTI before 10:45 PM EDT on August 19, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices, rounded to the nearest 2 decimal places.",1,2026-08-20T03:00:04.026609Z,0.0000,finalized,greater_or_equal,KXBTC15M-26AUG192300-00,BTC price up in next 15 mins?,2026-08-20T03:00:04.04331Z,2838086.97,2838086.97,1.0000,0.00,0.0000,0.00,"Target Price: $69,282.84"
True,2026-08-20T02:45:00Z,2026-08-19T00:01:20.157936Z,2,KXBTC15M-26AUG192245,0,2026-08-20T02:50:00Z,2026-08-27T02:45:00Z,69282.84,69465.11,0.0010,2026-08-27T02:45:00Z,0.0000,binary,1.0000,0.0000,Target price: TBD,1.0000,2026-08-20T02:50:00Z,706653.35,2026-08-20T02:30:00Z,0.0000,0.0000,0.0000,tapered_deci_cent,"[{""end"": ""0.1000"", ""start"": ""0.0000"", ""step"": ""0.0010""}, {""end"": ""0.9000"", ""start"": ""0.1000"", ""step"": ""0.0100""}, {""end"": ""1.0000"", ""start"": ""0.9000"", ""step"": ""0.0010""}]",no,"If the simple average of the sixty seconds of CF Benchmarks' BRTI before 10:45 PM EDT on Aug 19, 2026 is at least the simple average of the sixty seconds of CF Benchmarks' BRTI before 10:30 PM EDT on August 19, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices, rounded to the nearest 2 decimal places.",1,2026-08-20T02:45:13.970231Z,0.0000,finalized,greater_or_equal,KXBTC15M-26AUG192245-45,BTC price up in next 15 mins?,2026-08-20T02:45:14.030784Z,1928349.78,1928349.78,1.0000,0.00,0.0000,0.00,"Target Price: $69,465.11"
True,2026-08-20T02:30:00Z,2026-08-19T00:01:19.881163Z,2,KXBTC15M-26AUG192230,0,2026-08-20T02:35:00Z,2026-08-27T02:30:00Z,69465.11,69644.68,0.0010,2026-08-27T02:30:00Z,0.0000,binary,1.0000,0.0000,Target price: TBD,1.0000,2026-08-20T02:35:00Z,674133.43,2026-08-20T02:15:00Z,0.0000,0.0000,0.0000,tapered_deci_cent,"[{""end"": ""0.1000"", ""start"": ""0.0000"", ""step"": ""0.0010""}, {""end"": ""0.9000"", ""start"": ""0.1000"", ""step"": ""0.0100""}, {""end"": ""1.0000"", ""start"": ""0.9000"", ""step"": ""0.0010""}]",no,"If the simple average of the sixty seconds of CF Benchmarks' BRTI before 10:30 PM EDT on Aug 19, 2026 is at least the simple average of the sixty seconds of CF Benchmarks' BRTI before 10:15 PM EDT on August 19, 2026, then the market resolves to Yes.","Not all cryptocurrency price data is the same. While checking a source like Google or Coinbase may help guide your decision, the price used to determine this market is based on CF Benchmarks' corresponding Real Time Index (RTI). At the last minute before expiration, 60 RTI prices are collected. The official and final value is the average of these prices, rounded to the nearest 2 decimal places.",1,2026-08-20T02:30:04.031647Z,0.0000,finalized,greater_or_equal,KXBTC15M-26AUG192230-30,BTC price up in next 15 mins?,2026-08-20T02:30:04.063932Z,1837625.68,1837625.68,1.0000,0.00,0.0000,0.00,"Target Price: $69,644.68"
