end_period_ts,open_interest_fp,volume_fp,yes_ask_close_dollars,yes_ask_high_dollars,yes_ask_low_dollars,yes_ask_open_dollars,yes_bid_close_dollars,yes_bid_high_dollars,yes_bid_low_dollars,yes_bid_open_dollars,ticker,price_close_dollars,price_high_dollars,price_low_dollars,price_mean_dollars,price_open_dollars,price_previous_dollars
1787191260,0.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,
1787191320,0.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,
1787191380,0.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,
1787191440,0.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,
1787191500,0.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,
1787191560,0.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,
1787191620,0.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,
1787191680,0.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,
1787191740,0.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,
1787191800,0.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,
1787191860,0.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,
1787191920,0.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,
1787191980,0.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,
1787192100,1.00,1.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,0.0100,0.0100,0.0100,0.0100,0.0100,
1787192280,1.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,0.0100
1787192400,1.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,0.0100
1787192460,1.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,0.0100
1787192520,1.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,0.0100
1787192580,1.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,0.0100
1787192640,1.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,0.0100
1787192700,1.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,0.0100
1787192820,1.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,0.0100
1787193060,1.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,0.0100
1787193120,1.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,0.0100
1787193180,1.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,0.0100
1787193240,1.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,0.0100
1787193300,1.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,0.0100
1787193360,1.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,0.0100
1787193420,1.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,0.0100
1787193480,1.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,0.0100
1787193540,1.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,0.0100
1787193660,1.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,0.0100
1787193720,1.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,0.0100
1787193780,1.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,0.0100
1787193840,1.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,0.0100
1787193960,1.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,0.0100
1787194020,1.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,0.0100
1787194140,1.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,0.0100
1787194200,1.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,0.0100
1787194320,1.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,0.0100
1787194380,1.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,0.0100
1787194440,1.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,0.0100
1787194500,1.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,0.0100
1787194560,1.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,0.0100
1787194620,1.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,0.0100
1787194800,1.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73299.99,,,,,,0.0100
1787191260,0.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73199.99,,,,,,
1787191320,0.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73199.99,,,,,,
1787191380,0.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73199.99,,,,,,
1787191440,0.00,0.00,0.0100,0.0100,0.0100,0.0100,0.0000,0.0000,0.0000,0.0000,KXBTCD-26AUG1923-T73199.99,,,,,,
