min_edge,position_fraction,trades,win_rate,roi,profit_factor
0.05,0.005,1133,0.6054721977052074,-0.12143300000000008,0.9384400985704647
0.05,0.01,1133,0.6054721977052074,-0.2520780000000001,0.9303275086358864
0.05,0.02,1133,0.6054721977052074,-0.4966129999999999,0.911846376006369
0.05,0.05,1133,0.6054721977052074,-0.915231,0.841194340519023
0.06,0.005,1090,0.6036697247706422,-0.08440300000000005,0.9556996839253303
0.06,0.01,1090,0.6036697247706422,-0.20185000000000006,0.9418438147000167
0.06,0.02,1090,0.6036697247706422,-0.42536699999999994,0.9210421976251421
0.06,0.05,1090,0.6036697247706422,-0.8842829999999999,0.8392275866984132
0.07,0.005,1046,0.5869980879541109,-0.22129700000000002,0.8758690128283514
0.07,0.01,1046,0.5869980879541109,-0.419621,0.8637434894987726
0.07,0.02,1046,0.5869980879541109,-0.690524,0.8431461093750391
0.07,0.05,1046,0.5869980879541109,-0.971835,0.7835187955186129
0.08,0.005,978,0.5787321063394683,-0.1499270000000001,0.9220500422434522
0.08,0.01,978,0.5787321063394683,-0.3081040000000001,0.9165795740929467
0.08,0.02,978,0.5787321063394683,-0.565296,0.9132518317297672
0.08,0.05,978,0.5787321063394683,-0.9432700000000004,0.9092285276491308
0.1,0.005,830,0.563855421686747,-0.07891900000000011,0.9584833936731089
0.1,0.01,830,0.563855421686747,-0.18030000000000002,0.9554670220083805
0.1,0.02,830,0.563855421686747,-0.39370000000000016,0.954828559640299
0.1,0.05,830,0.563855421686747,-0.8780929999999996,0.9622100916170503
0.12,0.005,669,0.5291479820627802,-0.2069580000000001,0.8543349427779108
0.12,0.01,669,0.5291479820627802,-0.387044,0.8543262262399022
0.12,0.02,669,0.5291479820627802,-0.6520510000000002,0.8594286263715416
0.12,0.05,669,0.5291479820627802,-0.9604920000000002,0.8959908553488759
0.15,0.005,394,0.5025380710659898,-0.10623600000000001,0.8925020819398926
0.15,0.01,394,0.5025380710659898,-0.21803099999999995,0.8922840924248938
0.15,0.02,394,0.5025380710659898,-0.44448800000000016,0.8934489852569688
0.15,0.05,394,0.5025380710659898,-0.864776,0.9286909242994563
