model,min_edge,position_fraction,brier_train,brier_validation,brier_test,market_brier_test,beats_market_brier_everywhere,roi_train,trades_train,winrate_train,roi_validation,trades_validation,winrate_validation,roi_test,trades_test,winrate_test,worst_split_roi,all_splits_positive,min_trades
market-mid (reference),0.05,0.01,0.13457386380267475,0.1519748559659091,0.1353453750952744,0.1353453750952744,False,,0,,,0,,,0,,,False,0
market-mid (reference),0.06,0.01,0.13457386380267475,0.1519748559659091,0.1353453750952744,0.1353453750952744,False,,0,,,0,,,0,,,False,0
market-mid (reference),0.07,0.01,0.13457386380267475,0.1519748559659091,0.1353453750952744,0.1353453750952744,False,,0,,,0,,,0,,,False,0
market-mid (reference),0.08,0.01,0.13457386380267475,0.1519748559659091,0.1353453750952744,0.1353453750952744,False,,0,,,0,,,0,,,False,0
market-mid (reference),0.1,0.01,0.13457386380267475,0.1519748559659091,0.1353453750952744,0.1353453750952744,False,,0,,,0,,,0,,,False,0
market-mid (reference),0.12,0.01,0.13457386380267475,0.1519748559659091,0.1353453750952744,0.1353453750952744,False,,0,,,0,,,0,,,False,0
market-mid (reference),0.15,0.01,0.13457386380267475,0.1519748559659091,0.1353453750952744,0.1353453750952744,False,,0,,,0,,,0,,,False,0
A0 analytic GBM,0.05,0.01,0.14634065196150542,0.17791623307137075,0.14179204410784887,0.1353453750952744,False,-0.22301800000000013,764,0.5078534031413613,-0.14133700000000002,260,0.5153846153846153,0.05073399999999997,252,0.5079365079365079,-0.22301800000000013,False,252
A0 analytic GBM,0.06,0.01,0.14634065196150542,0.17791623307137075,0.14179204410784887,0.1353453750952744,False,-0.3442290000000002,748,0.49866310160427807,-0.08566300000000002,256,0.53125,0.08033100000000001,248,0.5080645161290323,-0.3442290000000002,False,248
A0 analytic GBM,0.07,0.01,0.14634065196150542,0.17791623307137075,0.14179204410784887,0.1353453750952744,False,-0.1436470000000001,730,0.5027397260273972,-0.02431199999999997,254,0.5433070866141733,0.055621999999999984,240,0.5166666666666667,-0.1436470000000001,False,240
A0 analytic GBM,0.08,0.01,0.14634065196150542,0.17791623307137075,0.14179204410784887,0.1353453750952744,False,-0.24697199999999997,708,0.4887005649717514,0.039363999999999975,247,0.5506072874493927,0.08748000000000004,233,0.5236051502145923,-0.24697199999999997,False,233
A0 analytic GBM,0.1,0.01,0.14634065196150542,0.17791623307137075,0.14179204410784887,0.1353453750952744,False,-0.15651099999999996,636,0.47955974842767296,-0.05236800000000002,230,0.5478260869565217,0.23775200000000005,208,0.5096153846153846,-0.15651099999999996,False,208
A0 analytic GBM,0.12,0.01,0.14634065196150542,0.17791623307137075,0.14179204410784887,0.1353453750952744,False,-0.010518999999999884,558,0.482078853046595,0.11971399999999995,219,0.54337899543379,0.05379499999999996,177,0.5141242937853108,-0.010518999999999884,False,177
A0 analytic GBM,0.15,0.01,0.14634065196150542,0.17791623307137075,0.14179204410784887,0.1353453750952744,False,0.555769,437,0.4897025171624714,0.023150999999999925,194,0.5463917525773195,0.04794499999999996,138,0.5362318840579711,0.023150999999999925,True,138
A logistic (baseline feats),0.05,0.01,0.15098894637601404,0.16090693618067037,0.1483104761009496,0.1353453750952744,False,-0.25781000000000004,789,0.5868187579214195,0.03393,263,0.5817490494296578,-0.07794000000000002,263,0.6007604562737643,-0.25781000000000004,False,263
A logistic (baseline feats),0.06,0.01,0.15098894637601404,0.16090693618067037,0.1483104761009496,0.1353453750952744,False,-0.21821500000000016,785,0.5923566878980892,0.023904000000000012,263,0.5817490494296578,-0.10216000000000008,263,0.596958174904943,-0.21821500000000016,False,263
A logistic (baseline feats),0.07,0.01,0.15098894637601404,0.16090693618067037,0.1483104761009496,0.1353453750952744,False,-0.30465700000000007,783,0.5862068965517241,-0.020482999999999998,262,0.5725190839694656,-0.07300000000000001,263,0.6083650190114068,-0.30465700000000007,False,262
A logistic (baseline feats),0.08,0.01,0.15098894637601404,0.16090693618067037,0.1483104761009496,0.1353453750952744,False,-0.36829500000000004,777,0.5804375804375804,0.106802,259,0.5675675675675675,-0.10547000000000004,262,0.6030534351145038,-0.36829500000000004,False,259
A logistic (baseline feats),0.1,0.01,0.15098894637601404,0.16090693618067037,0.1483104761009496,0.1353453750952744,False,-0.3258230000000001,760,0.5815789473684211,0.47740999999999995,245,0.5918367346938775,-0.02014000000000003,261,0.632183908045977,-0.3258230000000001,False,245
A logistic (baseline feats),0.12,0.01,0.15098894637601404,0.16090693618067037,0.1483104761009496,0.1353453750952744,False,-0.3139680000000001,736,0.5788043478260869,0.479874,234,0.5811965811965812,0.0023129999999999314,257,0.642023346303502,-0.3139680000000001,False,234
A logistic (baseline feats),0.15,0.01,0.15098894637601404,0.16090693618067037,0.1483104761009496,0.1353453750952744,False,-0.18103400000000006,668,0.5748502994011976,0.20553699999999997,200,0.54,-0.06884900000000002,236,0.6271186440677966,-0.18103400000000006,False,200
B logistic (technical feats),0.05,0.01,0.14754990651390967,0.15986775820375443,0.1560560939301134,0.1353453750952744,False,-0.049351999999999945,790,0.5886075949367089,0.041474000000000004,262,0.5725190839694656,-0.041415000000000035,263,0.5893536121673004,-0.049351999999999945,False,262
B logistic (technical feats),0.06,0.01,0.14754990651390967,0.15986775820375443,0.1560560939301134,0.1353453750952744,False,0.056621000000000025,786,0.5954198473282443,0.03795600000000003,262,0.5725190839694656,-0.00346100000000002,261,0.6015325670498084,-0.00346100000000002,False,261
B logistic (technical feats),0.07,0.01,0.14754990651390967,0.15986775820375443,0.1560560939301134,0.1353453750952744,False,0.059517000000000035,777,0.5945945945945946,0.14412000000000003,261,0.5938697318007663,-0.043140000000000026,258,0.6046511627906976,-0.043140000000000026,False,258
B logistic (technical feats),0.08,0.01,0.14754990651390967,0.15986775820375443,0.1560560939301134,0.1353453750952744,False,0.192958,764,0.5916230366492147,0.16207000000000005,260,0.5884615384615385,0.043497999999999974,257,0.6070038910505836,0.043497999999999974,True,257
B logistic (technical feats),0.1,0.01,0.14754990651390967,0.15986775820375443,0.1560560939301134,0.1353453750952744,False,0.2101869999999999,712,0.5870786516853933,0.11170299999999998,250,0.572,-0.006287000000000049,246,0.5975609756097561,-0.006287000000000049,False,246
B logistic (technical feats),0.12,0.01,0.14754990651390967,0.15986775820375443,0.1560560939301134,0.1353453750952744,False,0.04524100000000006,658,0.5547112462006079,0.14483799999999997,228,0.5526315789473685,-0.004506000000000014,232,0.5818965517241379,-0.004506000000000014,False,228
B logistic (technical feats),0.15,0.01,0.14754990651390967,0.15986775820375443,0.1560560939301134,0.1353453750952744,False,-0.162983,556,0.5089928057553957,0.19758399999999987,207,0.5217391304347826,-0.19976500000000005,194,0.5257731958762887,-0.19976500000000005,False,194
C gradient boosting,0.05,0.01,0.12817048712263393,0.1600720796256557,0.14095919021019623,0.1353453750952744,False,5.609074,769,0.6085825747724317,0.049491000000000014,261,0.5287356321839081,-0.222314,256,0.48828125,-0.222314,False,256
C gradient boosting,0.06,0.01,0.12817048712263393,0.1600720796256557,0.14095919021019623,0.1353453750952744,False,7.919492,741,0.6032388663967612,0.08602999999999997,258,0.5232558139534884,-0.19579400000000005,254,0.4921259842519685,-0.19579400000000005,False,254
